platform,category,bucket_month,window_days,n_reviews,n_urls,reliability_flag,V,R,M,Diversity,Q,NS,dNS,CT_shift,rz_V,rz_R,rz_M,rz_Diversity,rz_Q,rz_NS,rz_dNS,rz_CT,rem_score_raw,rem_score
coupang,Appliances,2022-01-01,30,9,6,low_conf,2.302585092994046,0.5825433761958884,-0.5596157879354227,0.7901234567901234,4.271827586206897,0.2727272727272727,-0.175,0.5,1.4041094487613692,1.734364208444522,1.457319421818483,1.812665288783674,1.4264269457511871,2.6130188185935266,-1.5259709404961712,0.9059005802458044,0.957722726677301,65.96
coupang,Appliances,2022-02-01,30,21,8,low_conf,3.091042453358316,0.7236820292293691,0.6286086594223743,0.7256235827664399,4.460560975609757,0.1304347826086956,0.0763888888888889,0.3571428571428571,0.901638505586618,-2.2063484629321035,-1.5691156083853477,2.696978855389017,-0.1657991689791533,0.0827951019465096,0.6205183473270982,-0.0731511237054784,-0.1901652199110733,46.83
coupang,Appliances,2022-03-01,30,16,8,low_conf,2.833213344056216,0.549926560420275,-0.9555114450274363,0.8046875,4.4967500000000005,0.1666666666666666,-0.0476190476190476,0.5,1.0659487679311523,2.645053778341622,2.4656747772339638,1.6129876740585471,-0.4711034391089332,0.7270650297964445,-0.4383260132802762,0.2773436799034459,0.8623356324779083,64.37
coupang,Appliances,2022-04-01,30,13,9,low_conf,2.6390573296152584,0.5810653085556237,-0.6931471805599456,0.8047337278106509,4.36009090909091,0.2,0.409090909090909,0.2777777777777778,1.1896812113116373,1.7756331291402658,1.7974269538334915,1.6123538762297631,0.6818042368948205,1.319793363418385,3.461301508258446,0.6541826457769372,1.711521589089961,78.53
coupang,Appliances,2022-05-01,30,15,8,low_conf,2.772588722239781,0.670237845009959,0.3566749439387326,0.8622222222222222,4.510942857142857,0.1176470588235294,-0.1590909090909091,0.3888888888888889,1.1045838450260546,-0.7141408398732672,-0.8764941728785953,0.8241685301126375,-0.5908397393841144,-0.1445942843534673,-1.390130834888069,0.6619645272790414,-0.3657827359799611,43.9
coupang,Appliances,2022-06-01,30,11,9,low_conf,2.4849066497880004,0.661743137812275,0.4700036292457354,0.859504132231405,4.415580645161291,0.1538461538461538,0.0555555555555555,0.25,1.2879189111259255,-0.4769613034807347,-1.1651449441219688,0.8614343990855178,0.2136718775370195,0.4990925937880063,0.4426324947450592,2.332337150758917,0.405481916892279,56.76
coupang,Appliances,2022-07-01,30,11,5,low_conf,2.4849066497880004,0.649963113912871,0.810930216216329,0.743801652892562,4.222032258064517,0.3076923076923077,-0.1,0.375,1.2879189111259255,-0.1480528970891218,-2.033492812094209,2.4477517945527363,1.846519130344061,3.2347618258892687,-0.8855818712008315,1.4266421113305383,0.4333569244177337,57.22
coupang,Appliances,2022-08-01,30,12,7,low_conf,2.5649493574615367,0.6566671623802,0.5877866649021193,0.8194444444444444,4.52759375,0.1428571428571428,-0.2333333333333333,0.75,1.2369090064173167,-0.3352357005020133,-1.4651410482813112,1.4106653227145454,-0.7313129567867293,0.3036876486379158,-2.0240513277258803,1.5606189142155245,-0.3727921033700989,43.79
coupang,Appliances,2022-09-01,30,22,13,low_conf,3.1354942159291497,0.7088640092911546,0.5108256237659905,0.8512396694214877,4.52102380952381,0.125,-0.075,0.2142857142857142,0.8733101264153872,-1.7926165923198665,-1.2691195042260053,0.974742784476033,-0.6758864589555232,-0.0138453872309805,-0.6721188481023846,-0.1619978396120809,-0.5077791890429403,41.54
coupang,Appliances,2022-10-01,30,19,12,low_conf,2.995732273553991,0.5969020802399336,-0.485507815781701,0.8919667590027701,4.253410256410256,0.2857142857142857,0.0476190476190476,0.261904761904762,0.9623781198611412,1.3334568329327736,1.268564710162683,0.4163615722607225,1.581802491957368,2.843951935589088,0.3748664556661872,-0.2058273448929877,1.0511107948196454,67.52
coupang,Appliances,2022-11-01,30,30,14,low_conf,3.4339872044851463,0.5974997635622916,-0.2513144282809061,0.7777777777777777,4.63766,0.0625,-0.0385964912280701,0.2760180995475113,0.6830854408071653,1.3167690001437795,0.6720687591236608,1.9819284323917288,-1.6598733888063075,-1.1252110127721182,-0.361286726748506,0.6242131123304031,0.0648851115305104,51.08
coupang,Appliances,2022-12-01,30,26,16,low_conf,3.295836866004329,0.6508341336561225,-0.4353180712578455,0.9171597633136096,4.388760869565218,0.1428571428571428,0.1388888888888889,0.5750000000000001,0.7711263855252114,-0.1723725180113673,1.1407302750761623,0.0709575566274241,0.4399336282022594,0.3036876486379158,1.154175905073215,1.7731160761057314,0.9061901093642816,65.1
