platform,category,product_url,review_date,avg_rating,review_count,neg_count,neg_ratio,defect_count,transaction_count,usability_count,fit_count,complaint_count,complaint_ratio
coupang,Appliances,https://www.coupang.com/vp/products/168473355,2025-06-20,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/168473355,2025-06-06,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/168473355,2025-05-30,2.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/168473355,2025-05-29,4.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-10-11,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-09-14,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-08-17,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-06-28,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-06-23,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-04-07,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-02-17,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-02-15,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-02-11,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-02-08,5.0,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-01-29,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-01-24,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2025-01-23,5.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2024-11-12,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2024-10-24,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2024-06-10,4.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2024-04-08,5.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2024-03-03,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2024-02-21,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/6626271404,2024-02-09,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-12-18,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-12-17,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-10-23,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-10-20,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-07-21,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-07-15,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-05-05,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-03-14,3.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-02-13,5.0,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-02-10,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-01-27,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-01-07,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2025-01-02,1.0,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2024-12-03,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2024-11-13,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2024-11-07,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2024-10-28,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2024-10-27,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2024-10-23,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7635376564,2024-08-15,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-12-02,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-11-27,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-11-20,3.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-11-19,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-11-11,1.0,1,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-11-06,4.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-11-03,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-10-28,4.5,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-10-18,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-09-16,4.33,3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-09-15,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-09-11,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-08-27,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-08-25,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-08-24,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/7951211266,2025-08-19,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5
coupang,Appliances,https://www.coupang.com/vp/products/1914947821,2025-12-15,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/1914947821,2025-11-03,1.0,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/1914947821,2025-10-29,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/1914947821,2025-10-17,2.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
coupang,Appliances,https://www.coupang.com/vp/products/1914947821,2025-10-07,5.0,2,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/1914947821,2025-09-22,5.0,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
coupang,Appliances,https://www.coupang.com/vp/products/1914947821,2025-09-06,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
